reward,viol
-257.40244857470344,9
-185.092591085651,1
-217.32936216872469,5
-233.03631484307266,7
-201.8130311345908,1
-182.35479601509522,0
-290.1355036501129,13
-184.5960503796138,2
-219.17336219889773,5
-219.03114840475894,4
-178.24929311571645,1
-205.93714620064463,3
-181.85263219680883,0
-245.40120867026212,8
-188.71085661210134,3
-172.2959127213185,0
-177.19618069297664,0
-199.3441214955119,2
-188.5985974889021,0
-175.92640247053933,0
-238.84895963061462,6
-177.45213315431567,0
-211.791689542354,4
-231.43768828387775,7
-189.45633058193334,0
-195.81215672678692,1
-162.03773080205386,0
-201.36418177135064,3
-235.36305865693643,6
-203.53503311708036,2
-189.40441936359045,0
-204.0834521725413,2
-177.65282296043063,1
-186.03249340571128,1
-179.88185409958157,1
-221.72181258055946,5
-185.31550470739396,0
-206.08839318813304,3
-184.62192284370207,0
-175.67232066478707,0
-180.25492103084144,1
-189.52895352198274,0
-171.14232070314492,0
-184.44709302320794,0
-179.47789834603708,0
-249.54637140752186,9
-177.48616826666338,1
-173.59728506696544,0
-175.9058196038293,0
-186.31709479772252,3
-218.57718766113604,4
-196.42259826580192,2
-213.0389166199463,3
-179.87285780388254,0
-179.32628563425268,0
-182.03514763368773,0
-253.586960603441,10
-213.32579560837206,5
-172.32604395782977,0
-183.12763319842105,0
-172.4695521483262,0
-239.69592969347354,7
-222.08913558586147,5
-178.39445141697055,0
-183.01641546671232,0
-196.66200278624504,2
-195.7435843634554,1
-230.69771953286636,7
-181.172806149292,1
-168.65262443588435,0
-189.29772610257572,2
-260.55514222653676,10
-184.5920008516938,0
-193.5260250393317,2
-175.384702596457,0
-207.87352015812974,3
-211.46898301840258,2
-184.32885749236158,0
-182.81756355305365,0
-178.05791879520604,0
-212.52768279828163,3
-177.41607698437477,1
-200.195289467725,2
-213.51106732078043,3
-182.86316938920234,0
-233.32249943361742,5
-172.55204174120897,0
-190.18144742736598,1
-185.57198875962544,1
-237.37144564700594,8
-178.1194751262293,1
-191.49751566835403,1
-185.22561183833102,1
-170.81142432120217,0
-228.95012807437917,6
-188.49468468134668,0
-205.82902036672678,2
-197.09173473497992,2
-212.17834286854162,4
-216.71244354090598,3
-174.03191625279126,0
-268.7329763332393,12
-202.29402652227296,2
-173.21183271043162,0
-181.02420175918624,0
-197.54899308837958,2
-190.87766834095436,0
-201.10329594917582,2
-203.99120337133215,4
-226.1614640179077,6
-208.0159850274344,4
-188.4028460106476,0
-202.68666028712045,2
-211.59326039379434,3
-227.8160737583851,4
-217.0955369051586,4
-235.280869079832,7
-268.8221224513354,12
-181.04073672687645,0
-180.45472908699796,0
-241.11463125771036,8
-177.86712334691865,1
-211.68658577062024,2
-192.92292259125537,1
-222.83687463670125,4
-208.4817778275705,2
-207.0936574561414,3
-178.18478777568967,0
-194.3333013392854,1
-185.03563311456327,0
-218.6709240551678,5
-222.28589587846403,4
-181.6883116201114,0
-184.32211281514725,1
-175.9056377413326,0
-180.73464430252568,1
-205.43955221081484,3
-201.96990172702567,3
-192.19520537169007,0
-207.27763269525772,2
-190.12426243253626,0
-182.06517721477366,0
-258.56473845284785,8
-207.57970181756926,2
-180.79087465227673,0
-207.5736788956492,2
-250.6889043587824,7
-184.5308346885704,0
-192.38448322781133,0
-186.66387726696138,0
-181.50275889846128,0
-193.41290163565967,1
-189.23581504575094,0
-230.2162641662723,4
-187.421566533279,0
-174.28879788731894,0
-207.67027399967697,3
-178.65882663533438,0
-185.3926167778744,0
-174.8352812592405,0
-194.15760721140157,1
-179.53663409108356,0
-201.0240690334197,1
-186.1838008400412,0
-189.33397207968693,1
-192.7768822873642,0
-181.03368495924698,0
-181.10340924313368,1
-253.8848008349848,9
-175.14003467096356,0
-216.7977350518147,3
-188.22667195999338,0
-184.54403637326104,0
-203.2544938136708,2
-180.01592261942736,0
-189.24148770039926,0
-182.77585731563826,0
-185.66842730193764,0
-178.61123645055469,1
-185.06449743702,1
-181.3289080233255,0
-187.46365505252896,0
-210.0270403656073,3
-177.6727390990187,0
-176.28131583132668,0
-199.25677827112864,2
-211.59383241057682,2
-194.6327044049146,1
-190.7648948977048,0
-173.82784910579477,0
-187.04231557794262,0
-184.88819578012703,0
-202.43472421678365,3
-173.7774266660055,0
-195.19986991243195,2
-185.03215426980228,0
-176.69108282902096,1
-204.27095506899383,3
-188.83598275493412,0
-183.16676300673046,0
-188.53897902475683,1
-173.9354610360043,0
-214.1746492566498,3
-198.869610594775,1
-202.29615986910343,2
-182.046146306801,0
-262.3028956823841,10
-183.2942105213335,0
-182.10147839162767,0
-178.1428731342571,0
-194.30370964975018,1
-222.15606467597428,4
-212.323214032739,3
-206.33577638277868,1
-187.117307028419,0
-194.96789432527018,2
-194.40470465259483,1
-233.2183667460886,5
-173.78921949590207,0
-188.4402018988759,0
-179.70387609868382,1
-180.2216624730057,0
-167.19799942570376,0
-290.467937682497,14
-187.98195234148864,1
-175.72763980283028,0
-196.8983591772579,2
-182.5229346612312,0
-256.3095758753295,7
-199.47745913656547,3
-192.7255068293608,0
-185.1223236577544,0
-184.94165950008627,0
-177.37872034377793,1
